"code"	"institution_key"	"institution_name"	"class"	"type"	"city"	"state"	"uva_peer"
"SHSU"	"SAM HOUSTON STATE UNIVERSITY"	"Sam Houston State University"	"R3"	"Public"	"Huntsville"	"TX"	NULL
"SDSU"	"SAN DIEGO STATE UNIVERSITY"	"San Diego State University"	"R2"	"Public"	"San Diego"	"CA"	NULL
"SFSU"	"SAN FRANCISCO STATE UNIVERSITY"	"San Francisco State University"	"R3"	"Public"	"San Francisco"	"CA"	NULL
"SJSU"	"SAN JOSE STATE UNIVERSITY"	"San Jose State University"	"NA"	"NA"	"NA"	"NA"	NULL
"Santa Clara"	"SANTA CLARA UNIVERSITY"	"Santa Clara University"	"NA"	"NA"	"NA"	"NA"	NULL
"SPU"	"SEATTLE PACIFIC UNIVERSITY"	"Seattle Pacific University"	"R3"	"Private (Non-profit)"	"Seattle"	"WA"	NULL
"Seattle"	"SEATTLE UNIVERSITY"	"Seattle University"	"NA"	"NA"	"NA"	"NA"	NULL
"Seton Hall"	"SETON HALL UNIVERSITY"	"Seton Hall University"	"R3"	"Private (Non-profit)"	"South Orange"	"NJ"	NULL
"Shenandoah"	"SHENANDOAH UNIVERSITY"	"Shenandoah University"	"R3"	"Private (Non-profit)"	"Winchester"	"VA"	NULL
"Slippery Rock"	"SLIPPERY ROCK UNIVERSITY"	"Slippery Rock University"	"NA"	"NA"	"NA"	"NA"	NULL
"S Dakota State"	"SOUTH DAKOTA STATE UNIVERSITY"	"South Dakota State University"	"R2"	"Public"	"Brookings"	"SD"	NULL
"SIU"	"SOUTHERN ILLINOIS UNIVERSITY CARBONDALE"	"Southern Illinois University-Carbondale"	"R2"	"Public"	"Carbondale"	"IL"	NULL
"SMU"	"SOUTHERN METHODIST UNIVERSITY"	"Southern Methodist University"	"R2"	"Private (Non-profit)"	"Dallas"	"TX"	NULL
"SNHU"	"SOUTHERN NEW HAMPSHIRE UNIVERSITY"	"Southern New Hampshire University"	"NA"	"NA"	"NA"	"NA"	NULL
"SWOSU"	"SOUTHWESTERN OKLAHOMA STATE UNIVERSITY"	"Southwestern Oklahoma State University"	"NA"	"NA"	"NA"	"NA"	NULL
"Spalding"	"SPALDING UNIVERSITY"	"Spalding University"	"R3"	"Private (Non-profit)"	"Louisville"	"KY"	NULL
"SJU NY"	"ST JOHNS UNIVERSITY NEW YORK"	"St John's University-New York"	"R3"	"Private (Non-profit)"	"Queens"	"NY"	NULL
"Stanford"	"STANFORD UNIVERSITY"	"Stanford University"	"R1"	"Private (Non-profit)"	"Stanford"	"CA"	"1"
"Stevens"	"STEVENS INSTITUTE OF TECHNOLOGY"	"Stevens Institute of Technology"	"R2"	"Private (Non-profit)"	"Hoboken"	"NJ"	NULL
"Stony Brook"	"STONY BROOK UNIVERSITY"	"Stony Brook University"	"R1"	"Public"	"Stony Brook"	"NY"	NULL
"Suffolk"	"SUFFOLK UNIVERSITY"	"Suffolk University"	"R3"	"Private (Non-profit)"	"Boston"	"MA"	NULL
"SUNY Albany"	"SUNY ALBANY"	"SUNY at Albany"	"R1"	"Public"	"Albany"	"NY"	NULL
"SUNY Bing"	"SUNY BINGHAMTON"	"SUNY at Binghamton"	"R2"	"Public"	"Vestal"	"NY"	NULL
"SUNY CESF"	"SUNY COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY"	"SUNY College of Environmental Science and Forestry"	"R3"	"Public"	"Syracuse"	"NY"	NULL
"Syracuse"	"SYRACUSE UNIVERSITY"	"Syracuse University"	"R1"	"Private (Non-profit)"	"Syracuse"	"NY"	NULL
"Tarleton St"	"TARLETON STATE UNIVERSITY"	"Tarleton State University"	"NA"	"NA"	"NA"	"NA"	NULL
"TCCU"	"TEACHERS COLLEGE COLUMBIA UNIVERSITY"	"Teachers College at Columbia University"	"R2"	"Private (Non-profit)"	"New York"	"NY"	NULL
"Temple"	"TEMPLE UNIVERSITY"	"Temple University"	"R1"	"Public"	"Philadelphia"	"PA"	NULL
"Tenn St"	"TENNESSEE STATE UNIVERSITY"	"Tennessee State University"	"R3"	"Public"	"Nashville"	"TN"	NULL
"TN Tech"	"TENNESSEE TECHNOLOGICAL UNIVERSITY"	"Tennessee Technological University"	"R3"	"Public"	"Cookeville"	"TN"	NULL
"TAMU"	"TEXAS A M UNIVERSITY COLLEGE STATION"	"Texas A & M University-College Station"	"R1"	"Public"	"College Station"	"TX"	NULL
"TAMU Com"	"TEXAS A M UNIVERSITY COMMERCE"	"Texas A & M University-Commerce"	"R2"	"Public"	"Commerce"	"TX"	NULL
"TAMU CC"	"TEXAS A M UNIVERSITY CORPUS CHRISTI"	"Texas A & M University-Corpus Christi"	"R3"	"Public"	"Corpus Christi"	"TX"	NULL
"TAMU Kin"	"TEXAS A M UNIVERSITY KINGSVILLE"	"Texas A & M University-Kingsville"	"R3"	"Public"	"Kingsville"	"TX"	NULL
"TCU"	"TEXAS CHRISTIAN UNIVERSITY"	"Texas Christian University"	"R2"	"Private (Non-profit)"	"Fort Worth"	"TX"	NULL
"TX Southern"	"TEXAS SOUTHERN UNIVERSITY"	"Texas Southern University"	"R3"	"Public"	"Houston"	"TX"	NULL
"TX St"	"TEXAS STATE UNIVERSITY"	"Texas State University"	"R2"	"Public"	"San Marcos"	"TX"	NULL
"TX Tech"	"TEXAS TECH UNIVERSITY"	"Texas Tech University"	"R1"	"Public"	"Lubbock"	"TX"	NULL
"TWU"	"TEXAS WESLEYAN UNIVERSITY"	"Texas Wesleyan University"	"R3"	"Private (Non-profit)"	"Fort Worth"	"TX"	NULL
"TX Woman"	"TEXAS WOMANS UNIVERSITY"	"Texas Woman's University"	"R3"	"Public"	"Denton"	"TX"	NULL
"TESU"	"THOMAS EDISON STATE UNIVERSITY"	"Thomas Edison State University"	"NA"	"NA"	"NA"	"NA"	NULL
"Trevecca Nazarene"	"TREVECCA NAZARENE UNIVERSITY"	"Trevecca Nazarene University"	"R3"	"Private (Non-profit)"	"Nashville"	"TN"	NULL
"Trident"	"TRIDENT UNIVERSITY INTERNATIONAL"	"Trident University International"	"R3"	"Private (For-profit)"	"Cypress"	"CA"	NULL
"TIU IL"	"TRINITY INTERNATIONAL UNIVERSITY ILLINOIS"	"Trinity International University-Illinois"	"R3"	"Private (Non-profit)"	"Deerfield"	"IL"	NULL
"Trocaire"	"TROCAIRE COLLEGE"	"Trocaire College"	"NA"	"NA"	"NA"	"NA"	NULL
"Tufts"	"TUFTS UNIVERSITY"	"Tufts University"	"R1"	"Private (Non-profit)"	"Medford"	"MA"	NULL
"Tulane"	"TULANE UNIVERSITY OF LOUISIANA"	"Tulane University of Louisiana"	"R1"	"Private (Non-profit)"	"New Orleans"	"LA"	NULL
"Union Inst"	"UNION INSTITUTE UNIVERSITY"	"Union Institute & University"	"R3"	"Private (Non-profit)"	"Cincinnati"	"OH"	NULL
"Union"	"UNION UNIVERSITY"	"Union University"	"R3"	"Private (Non-profit)"	"Jackson"	"TN"	NULL
"UTurabo"	"UNIVERSIDAD DEL TURABO"	"Universidad del Turabo"	"R3"	"Private (Non-profit)"	"Gurabo"	"PR"	NULL
"Buffalo"	"UNIVERSITY BUFFALO"	"University at Buffalo"	"R1"	"Public"	"Buffalo"	"NY"	NULL
"Akron"	"UNIVERSITY OF AKRON MAIN"	"University of Akron Main Campus"	"R2"	"Public"	"Akron"	"OH"	NULL
"Alabama"	"UNIVERSITY OF ALABAMA"	"University of Alabama"	"R2"	"Public"	"Tuscaloosa"	"AL"	NULL
"UA Bir"	"UNIVERSITY OF ALABAMA BIRMINGHAM"	"University of Alabama at Birmingham"	"R1"	"Public"	"Birmingham"	"AL"	NULL
"UA Hun"	"UNIVERSITY OF ALABAMA IN HUNTSVILLE"	"University of Alabama in Huntsville"	"R2"	"Public"	"Huntsville"	"AL"	NULL
"Alaska"	"UNIVERSITY OF ALASKA FAIRBANKS"	"University of Alaska Fairbanks"	"R2"	"Public"	"Fairbanks"	"AK"	NULL
"Arizona"	"UNIVERSITY OF ARIZONA"	"University of Arizona"	"R1"	"Public"	"Tucson"	"AZ"	NULL
"Arkansas"	"UNIVERSITY OF ARKANSAS"	"University of Arkansas"	"R1"	"Public"	"Fayetteville"	"AR"	NULL
"Arkansas LR"	"UNIVERSITY OF ARKANSAS LITTLE ROCK"	"University of Arkansas at Little Rock"	"R3"	"Public"	"Little Rock"	"AR"	NULL
"Bridgeport"	"UNIVERSITY OF BRIDGEPORT"	"University Of Bridgeport"	"NA"	"NA"	"NA"	"NA"	NULL
"Cal"	"UNIVERSITY OF CALIFORNIA BERKELEY"	"University of California-Berkeley"	"R1"	"Public"	"Berkeley"	"CA"	"1"
"UC Davis"	"UNIVERSITY OF CALIFORNIA DAVIS"	"University of California-Davis"	"R1"	"Public"	"Davis"	"CA"	NULL
"UC Irvine"	"UNIVERSITY OF CALIFORNIA IRVINE"	"University of California-Irvine"	"R1"	"Public"	"Irvine"	"CA"	NULL
"UCLA"	"UNIVERSITY OF CALIFORNIA LOS ANGELES"	"University of California-Los Angeles"	"R1"	"Public"	"Los Angeles"	"CA"	NULL
"UC Merced"	"UNIVERSITY OF CALIFORNIA MERCED"	"University of California-Merced"	"R2"	"Public"	"Merced"	"CA"	NULL
"UC Riverside"	"UNIVERSITY OF CALIFORNIA RIVERSIDE"	"University of California-Riverside"	"R1"	"Public"	"Riverside"	"CA"	NULL
"UCSD"	"UNIVERSITY OF CALIFORNIA SAN DIEGO"	"University of California-San Diego"	"R1"	"Public"	"La Jolla"	"CA"	NULL
"UCSB"	"UNIVERSITY OF CALIFORNIA SANTA BARBARA"	"University of California-Santa Barbara"	"R1"	"Public"	"Santa Barbara"	"CA"	NULL
"UCSC"	"UNIVERSITY OF CALIFORNIA SANTA CRUZ"	"University of California-Santa Cruz"	"R1"	"Public"	"Santa Cruz"	"CA"	NULL
"UCF"	"UNIVERSITY OF CENTRAL FLORIDA"	"University of Central Florida"	"R1"	"Public"	"Orlando"	"FL"	NULL
"Chicago"	"UNIVERSITY OF CHICAGO"	"University of Chicago"	"R1"	"Private (Non-profit)"	"Chicago"	"IL"	NULL
"Cincinnati"	"UNIVERSITY OF CINCINNATI"	"University of Cincinnati"	"R1"	"Public"	"Cincinnati"	"OH"	NULL
"Colorado"	"UNIVERSITY OF COLORADO BOULDER"	"University of Colorado Boulder"	"R1"	"Public"	"Boulder"	"CO"	NULL
"Colorado Den"	"UNIVERSITY OF COLORADO DENVER"	"University of Colorado Denver"	"R2"	"Public"	"Denver"	"CO"	NULL
"U Conn"	"UNIVERSITY OF CONNECTICUT"	"University of Connecticut"	"R1"	"Public"	"Storrs"	"CT"	NULL
"Dallas"	"UNIVERSITY OF DALLAS"	"University Of Dallas"	"NA"	"NA"	"NA"	"NA"	NULL
"Dayton"	"UNIVERSITY OF DAYTON"	"University of Dayton"	"R2"	"Private (Non-profit)"	"Dayton"	"OH"	NULL
"Delaware"	"UNIVERSITY OF DELAWARE"	"University of Delaware"	"R1"	"Public"	"Newark"	"DE"	NULL
"Denver"	"UNIVERSITY OF DENVER"	"University of Denver"	"R2"	"Private (Non-profit)"	"Denver"	"CO"	NULL
"UF"	"UNIVERSITY OF FLORIDA"	"University of Florida"	"R1"	"Public"	"Gainesville"	"FL"	NULL
"UGA"	"UNIVERSITY OF GEORGIA"	"University of Georgia"	"R1"	"Public"	"Athens"	"GA"	NULL
"Hartford"	"UNIVERSITY OF HARTFORD"	"University of Hartford"	"R3"	"Private (Non-profit)"	"West Hartford"	"CT"	NULL
"UH Manoa"	"UNIVERSITY OF HAWAII MANOA"	"University of Hawaii at Manoa"	"R1"	"Public"	"Honolulu"	"HI"	NULL
"Houston"	"UNIVERSITY OF HOUSTON"	"University of Houston"	"R1"	"Public"	"Houston"	"TX"	NULL
"Idaho"	"UNIVERSITY OF IDAHO"	"University of Idaho"	"R2"	"Public"	"Moscow"	"ID"	NULL
"Illinois Chi"	"UNIVERSITY OF ILLINOIS CHICAGO"	"University of Illinois at Chicago"	"R1"	"Public"	"Chicago"	"IL"	NULL
"Illinois Spr"	"UNIVERSITY OF ILLINOIS SPRINGFIELD"	"University Of Illinois Springfield"	"NA"	"NA"	"NA"	"NA"	NULL
"UICU SIS"	"UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN"	"University of Illinois at Urbana-Champaign"	"R1"	"Public"	"Champaign"	"IL"	NULL
"Iowa"	"UNIVERSITY OF IOWA"	"University of Iowa"	"R1"	"Public"	"Iowa City"	"IA"	NULL
"Kansas"	"UNIVERSITY OF KANSAS"	"University of Kansas"	"R1"	"Public"	"Lawrence"	"KS"	NULL
"Kansas Edw"	"UNIVERSITY OF KANSAS EDWARD"	"University of Kansas Edwards Campus"		"Public"	"Edwards"	"KS"	NULL
"Kentucky"	"UNIVERSITY OF KENTUCKY"	"University of Kentucky"	"R1"	"Public"	"Lexington"	"KY"	NULL
"La Verne"	"UNIVERSITY OF LA VERNE"	"University of La Verne"	"R3"	"Private (Non-profit)"	"La Verne"	"CA"	NULL
"Louisiana Laf"	"UNIVERSITY OF LOUISIANA LAFAYETTE"	"University of Louisiana at Lafayette"	"R2"	"Public"	"Lafayette"	"LA"	NULL
"Louisiana Mon"	"UNIVERSITY OF LOUISIANA MONROE"	"University of Louisiana at Monroe"	"R3"	"Public"	"Monroe"	"LA"	NULL
"Louisville"	"UNIVERSITY OF LOUISVILLE"	"University of Louisville"	"R1"	"Public"	"Louisville"	"KY"	NULL
"Maine"	"UNIVERSITY OF MAINE"	"University of Maine"	"R2"	"Public"	"Orono"	"ME"	NULL
"Maine Far"	"UNIVERSITY OF MAINE FARMINGTON"	"University Of Maine Farmington"	"NA"	"NA"	"NA"	"NA"	NULL
"UMT"	"UNIVERSITY OF MANAGEMENT AND TECHNOLOGY"	"University of Management and Technology"	"R3"	"Private (For-profit)"	"Arlington"	"VA"	NULL
"UMBC"	"UNIVERSITY OF MARYLAND BALTIMORE COUNTY"	"University of Maryland-Baltimore County"	"R2"	"Public"	"Baltimore"	"MD"	NULL
"Maryland"	"UNIVERSITY OF MARYLAND COLLEGE PARK"	"University of Maryland-College Park"	"R1"	"Public"	"College Park"	"MD"	NULL
"UMES"	"UNIVERSITY OF MARYLAND EASTERN SHORE"	"University of Maryland Eastern Shore"	"R3"	"Public"	"Princess Anne"	"MD"	NULL
"UMUC"	"UNIVERSITY OF MARYLAND UNIVERSITY COLLEGE"	"University Of Maryland University College"	"NA"	"NA"	"NA"	"NA"	NULL
"UMass Amherst"	"UNIVERSITY OF MASSACHUSETTS AMHERST"	"University of Massachusetts-Amherst"	"R1"	"Public"	"Amherst"	"MA"	NULL
"UMass"	"UNIVERSITY OF MASSACHUSETTS BOSTON"	"University of Massachusetts-Boston"	"R2"	"Public"	"Boston"	"MA"	NULL
"UMass Dar"	"UNIVERSITY OF MASSACHUSETTS DARTMOUTH"	"University of Massachusetts-Dartmouth"	"R2"	"Public"	"North Dartmouth"	"MA"	NULL
"UMass Low"	"UNIVERSITY OF MASSACHUSETTS LOWELL"	"University of Massachusetts-Lowell"	"R2"	"Public"	"Lowell"	"MA"	NULL
"Memphis"	"UNIVERSITY OF MEMPHIS"	"University of Memphis"	"R2"	"Public"	"Memphis"	"TN"	NULL
"Miami"	"UNIVERSITY OF MIAMI"	"University of Miami"	"R1"	"Private (Non-profit)"	"Coral Gables"	"FL"	NULL
"Michigan"	"UNIVERSITY OF MICHIGAN ANN ARBOR"	"University of Michigan-Ann Arbor"	"R1"	"Public"	"Ann Arbor"	"MI"	"1"
"Michigan Dea"	"UNIVERSITY OF MICHIGAN DEARBORN"	"University Of Michigan Dearborn"	"NA"	"NA"	"NA"	"NA"	NULL
"Minnesota TC"	"UNIVERSITY OF MINNESOTA TWIN CITIES"	"University of Minnesota-Twin Cities"	"R1"	"Public"	"Minneapolis"	"MN"	NULL
"Mississippi"	"UNIVERSITY OF MISSISSIPPI"	"University of Mississippi"	"R1"	"Public"	"Oxford"	"MS"	NULL
"Missouri"	"UNIVERSITY OF MISSOURI COLUMBIA"	"University of Missouri-Columbia"	"R1"	"Public"	"Columbia"	"MO"	NULL
"Missouri KC"	"UNIVERSITY OF MISSOURI KANSAS CITY"	"University of Missouri-Kansas City"	"R2"	"Public"	"Kansas City"	"MO"	NULL
"Missouri SL"	"UNIVERSITY OF MISSOURI ST LOUIS"	"University of Missouri-St Louis"	"R2"	"Public"	"Saint Louis"	"MO"	NULL
"Montana"	"UNIVERSITY OF MONTANA"	"University of Montana"	"R2"	"Public"	"Missoula"	"MT"	NULL
"Nebraska"	"UNIVERSITY OF NEBRASKA LINCOLN"	"University of Nebraska-Lincoln"	"R1"	"Public"	"Lincoln"	"NE"	NULL
"Nebraska Oma"	"UNIVERSITY OF NEBRASKA OMAHA"	"University of Nebraska at Omaha"	"R3"	"Public"	"Omaha"	"NE"	NULL
"Nevada"	"UNIVERSITY OF NEVADA LAS VEGAS"	"University of Nevada-Las Vegas"	"R2"	"Public"	"Las Vegas"	"NV"	NULL
"Nevada Ren"	"UNIVERSITY OF NEVADA RENO"	"University of Nevada-Reno"	"R2"	"Public"	"Reno"	"NV"	NULL
"UNE"	"UNIVERSITY OF NEW ENGLAND"	"University Of New England"	"NA"	"NA"	"NA"	"NA"	NULL
"New Hampshire"	"UNIVERSITY OF NEW HAMPSHIRE MAIN"	"University of New Hampshire-Main Campus"	"R2"	"Public"	"Durham"	"NH"	NULL
"New Haven"	"UNIVERSITY OF NEW HAVEN"	"University Of New Haven"	"NA"	"NA"	"NA"	"NA"	NULL
"UNM"	"UNIVERSITY OF NEW MEXICO MAIN"	"University of New Mexico-Main Campus"	"R1"	"Public"	"Albuquerque"	"NM"	NULL
"New Orleans"	"UNIVERSITY OF NEW ORLEANS"	"University of New Orleans"	"R2"	"Public"	"New Orleans"	"LA"	NULL
"UNC"	"UNIVERSITY OF NORTH CAROLINA CHAPEL HILL"	"University of North Carolina at Chapel Hill"	"R1"	"Public"	"Chapel Hill"	"NC"	NULL
"UNC Cha"	"UNIVERSITY OF NORTH CAROLINA CHARLOTTE"	"University of North Carolina at Charlotte"	"R2"	"Public"	"Charlotte"	"NC"	NULL
"UNC Gre"	"UNIVERSITY OF NORTH CAROLINA GREENSBORO"	"University of North Carolina at Greensboro"	"R2"	"Public"	"Greensboro"	"NC"	NULL
"UNC Wil"	"UNIVERSITY OF NORTH CAROLINA WILMINGTON"	"University of North Carolina at Wilmington"	NULL	NULL	NULL	NULL	NULL
"N Dakota"	"UNIVERSITY OF NORTH DAKOTA"	"University of North Dakota"	"R2"	"Public"	"Grand Forks"	"ND"	NULL
"N Texas"	"UNIVERSITY OF NORTH TEXAS"	"University of North Texas"	"R1"	"Public"	"Denton"	"TX"	NULL
"N Colorado"	"UNIVERSITY OF NORTHERN COLORADO"	"University of Northern Colorado"	"R2"	"Public"	"Greeley"	"CO"	NULL
"ND"	"UNIVERSITY OF NOTRE DAME"	"University of Notre Dame"	"R1"	"Private (Non-profit)"	"Notre Dame"	"IN"	"1"
"Oklahoma"	"UNIVERSITY OF OKLAHOMA NORMAN"	"University of Oklahoma-Norman Campus"	"R1"	"Public"	"Norman"	"OK"	NULL
"Oregon"	"UNIVERSITY OF OREGON"	"University of Oregon"	"R1"	"Public"	"Eugene"	"OR"	NULL
"Penn"	"UNIVERSITY OF PENNSYLVANIA"	"University of Pennsylvania"	"R1"	"Private (Non-profit)"	"Philadelphia"	"PA"	NULL
"Phoenix"	"UNIVERSITY OF PHOENIX"	"University Of Phoenix"	"NA"	"NA"	"NA"	"NA"	NULL
"Phoenix AZ"	"UNIVERSITY OF PHOENIX ARIZONA"	"University of Phoenix-Arizona"	"R3"	"Private (For-profit)"	"Tempe"	"AZ"	NULL
"Pitt Bra"	"UNIVERSITY OF PITTSBURGH BRADFORD"	"University Of Pittsburgh Bradford"	"NA"	"NA"	"NA"	"NA"	NULL
"Pitt"	"UNIVERSITY OF PITTSBURGH PITTSBURGH"	"University of Pittsburgh-Pittsburgh Campus"	"R1"	"Public"	"Pittsburgh"	"PA"	NULL
"UPR"	"UNIVERSITY OF PUERTO RICO RIO PIEDRAS"	"University of Puerto Rico-Rio Piedras"	"R2"	"Public"	"San Juan"	"PR"	NULL
"URI"	"UNIVERSITY OF RHODE ISLAND"	"University of Rhode Island"	"R2"	"Public"	"Kingston"	"RI"	NULL
"Rochester"	"UNIVERSITY OF ROCHESTER"	"University of Rochester"	"R1"	"Private (Non-profit)"	"Rochester"	"NY"	NULL
"San Diego"	"UNIVERSITY OF SAN DIEGO"	"University of San Diego"	"R3"	"Private (Non-profit)"	"San Diego"	"CA"	NULL
"USFCA"	"UNIVERSITY OF SAN FRANCISCO"	"University of San Francisco"	"R3"	"Private (Non-profit)"	"San Francisco"	"CA"	NULL
"South Alabama"	"UNIVERSITY OF SOUTH ALABAMA"	"University of South Alabama"	"R2"	"Public"	"Mobile"	"AL"	NULL
"SC"	"UNIVERSITY OF SOUTH CAROLINA COLUMBIA"	"University of South Carolina-Columbia"	"R1"	"Public"	"Columbia"	"SC"	NULL
"USD"	"UNIVERSITY OF SOUTH DAKOTA"	"University of South Dakota"	"R2"	"Public"	"Vermillion"	"SD"	NULL
"USF"	"UNIVERSITY OF SOUTH FLORIDA MAIN"	"University of South Florida-Main Campus"	"R1"	"Public"	"Tampa"	"FL"	NULL
"USC"	"UNIVERSITY OF SOUTHERN CALIFORNIA"	"University of Southern California"	"R1"	"Private (Non-profit)"	"Los Angeles"	"CA"	NULL
"USM"	"UNIVERSITY OF SOUTHERN MISSISSIPPI"	"University of Southern Mississippi"	"R2"	"Public"	"Hattiesburg"	"MS"	NULL
"St Francis"	"UNIVERSITY OF ST FRANCIS"	"University Of St Francis"	"NA"	"NA"	"NA"	"NA"	NULL
"U St Thomas"	"UNIVERSITY OF ST THOMAS"	"University Of St Thomas"	"NA"	"NA"	"NA"	"NA"	NULL
"St Thomas"	"UNIVERSITY OF ST THOMAS MINNESOTA"	"University Of St Thomas Minnesota"	"NA"	"NA"	"NA"	"NA"	NULL
"USTSP"	"UNIVERSITY OF ST THOMAS SAINT PAUL"	"University of St Thomas-Saint Paul"	"R3"	"Private (Non-profit)"	"Saint Paul"	"MN"	NULL
"Tenn"	"UNIVERSITY OF TENNESSEE"	"University of Tennessee"	"R1"	"Public"	"Knoxville"	"TN"	NULL
"Tenn Cha"	"UNIVERSITY OF TENNESSEE CHATTANOOGA"	"University Of Tennessee Chattanooga"	"NA"	"NA"	"NA"	"NA"	NULL
"Tenn Kno"	"UNIVERSITY OF TENNESSEE KNOXVILLE"	"University Of Tennessee Knoxville"	"NA"	"NA"	"NA"	"NA"	NULL
"UT Arl"	"UNIVERSITY OF TEXAS ARLINGTON"	"University of Texas at Arlington"	"R1"	"Public"	"Arlington"	"TX"	NULL
"UT"	"UNIVERSITY OF TEXAS AUSTIN"	"University of Texas at Austin"	"R1"	"Public"	"Austin"	"TX"	NULL
"UT Dal"	"UNIVERSITY OF TEXAS DALLAS"	"University of Texas at Dallas"	"R1"	"Public"	"Richardson"	"TX"	NULL
"UTEP"	"UNIVERSITY OF TEXAS EL PASO"	"University of Texas at El Paso"	"R2"	"Public"	"El Paso"	"TX"	NULL
"UTRG"	"UNIVERSITY OF TEXAS RIO GRANDE VALLEY"	"University of Texas – Rio Grande Valley"	"R3"	"Public"	"Edinburg"	"TX"	NULL
"UTSA"	"UNIVERSITY OF TEXAS SAN ANTONIO"	"University of Texas at San Antonio"	"R2"	"Public"	"San Antonio"	"TX"	NULL
"Cumberlands"	"UNIVERSITY OF THE CUMBERLANDS"	"University of the Cumberlands"	"R3"	"Private (Non-profit)"	"Williamsburg"	"KY"	NULL
"UP"	"UNIVERSITY OF THE PACIFIC"	"University of the Pacific"	"R3"	"Private (Non-profit)"	"Stockton"	"CA"	NULL
"Toledo"	"UNIVERSITY OF TOLEDO"	"University of Toledo"	"R2"	"Public"	"Toledo"	"OH"	NULL
"Tulsa"	"UNIVERSITY OF TULSA"	"University of Tulsa"	"R2"	"Private (Non-profit)"	"Tulsa"	"OK"	NULL
"Utah"	"UNIVERSITY OF UTAH"	"University of Utah"	"R1"	"Public"	"Salt Lake City"	"UT"	NULL
"Vermont"	"UNIVERSITY OF VERMONT"	"University of Vermont"	"R2"	"Public"	"Burlington"	"VT"	NULL
"UVA"	"UNIVERSITY OF VIRGINIA"	"University of Virginia"	"R1"	"Public"	"Charlottesville"	"VA"	NULL
"UW"	"UNIVERSITY OF WASHINGTON"	"University Of Washington"	"NA"	"NA"	"NA"	"NA"	NULL
"UW Sea"	"UNIVERSITY OF WASHINGTON SEATTLE"	"University of Washington-Seattle Campus"	"R1"	"Public"	"Seattle"	"WA"	NULL
"UW Tac"	"UNIVERSITY OF WASHINGTON TACOMA"	"University Of Washington Tacoma"	"NA"	"NA"	"NA"	"NA"	NULL
"UWF"	"UNIVERSITY OF WEST FLORIDA"	"University of West Florida"	"R3"	"Public"	"Pensacola"	"FL"	NULL
"UWG"	"UNIVERSITY OF WEST GEORGIA"	"University of West Georgia"	"R3"	"Public"	"Carrollton"	"GA"	NULL
"Wisconsin Col"	"UNIVERSITY OF WISCONSIN COLLEGES"	"University Of Wisconsin Colleges"	"NA"	"NA"	"NA"	"NA"	NULL
"Wisconsin Ext"	"UNIVERSITY OF WISCONSIN EXTENSION"	"University Of Wisconsin extension"	"NA"	"NA"	"NA"	"NA"	NULL
"Wisconsin"	"UNIVERSITY OF WISCONSIN MADISON"	"University of Wisconsin-Madison"	"R1"	"Public"	"Madison"	"WI"	NULL
"Wisconsin Mil"	"UNIVERSITY OF WISCONSIN MILWAUKEE"	"University of Wisconsin-Milwaukee"	"R1"	"Public"	"Milwaukee"	"WI"	NULL
"Wyoming"	"UNIVERSITY OF WYOMING"	"University of Wyoming"	"R2"	"Public"	"Laramie"	"WY"	NULL
"USU"	"UTAH STATE UNIVERSITY"	"Utah State University"	"R2"	"Public"	"Logan"	"UT"	NULL
"Valdosa St"	"VALDOSTA STATE UNIVERSITY"	"Valdosta State University"	"R3"	"Public"	"Valdosta"	"GA"	NULL
"Valparaiso"	"VALPARAISO UNIVERSITY"	"Valparaiso University"	"NA"	"NA"	"NA"	"NA"	NULL
"Vanderbilt"	"VANDERBILT UNIVERSITY"	"Vanderbilt University"	"R1"	"Private (Non-profit)"	"Nashville"	"TN"	NULL
"Villanova"	"VILLANOVA UNIVERSITY"	"Villanova University"	"R3"	"Private (Non-profit)"	"Villanova"	"PA"	NULL
"VCU"	"VIRGINIA COMMONWEALTH UNIVERSITY"	"Virginia Commonwealth University"	"R1"	"Public"	"Richmond"	"VA"	NULL
"VT"	"VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY"	"Virginia Polytechnic Institute and State University"	"R1"	"Public"	"Blacksburg"	"VA"	NULL
"WF"	"WAKE FOREST UNIVERSITY"	"Wake Forest University"	"R2"	"Private (Non-profit)"	"Winston Salem"	"NC"	NULL
"Walden"	"WALDEN UNIVERSITY"	"Walden University"	"R3"	"Private (For-profit)"	"Minneapolis"	"MN"	NULL
"WSU"	"WASHINGTON STATE UNIVERSITY"	"Washington State University"	"R1"	"Public"	"Pullman"	"WA"	NULL
"WUSL"	"WASHINGTON UNIVERSITY IN ST LOUIS"	"Washington University in St Louis"	"R1"	"Private (Non-profit)"	"Saint Louis"	"MO"	NULL
"Wayne St"	"WAYNE STATE UNIVERSITY"	"Wayne State University"	"R1"	"Public"	"Detroit"	"MI"	NULL
"WVU"	"WEST VIRGINIA UNIVERSITY"	"West Virginia University"	"R1"	"Public"	"Morgantown"	"WV"	NULL
"WGU"	"WESTERN GOVERNORS UNIVERSITY"	"Western Governors University"	NULL	NULL	NULL	NULL	NULL
"WIU"	"WESTERN ILLINOIS UNIVERSITY"	"Western Illinois University"	NULL	NULL	NULL	NULL	NULL
