"code"	"institution_key"	"institution_name"	"class"	"type"	"city"	"state"	"uva_peer"
"Dakota State"	"DAKOTA STATE UNIVERSITY"	"Dakota State University"	"NA"	"NA"	"NA"	"NA"	NULL
"Dallas Baptist"	"DALLAS BAPTIST UNIVERSITY"	"Dallas Baptist University"	"R3"	"Private (Non-profit)"	"Dallas"	"TX"	NULL
"Dartmouth"	"DARTMOUTH COLLEGE"	"Dartmouth College"	"R2"	"Private (Non-profit)"	"Hanover"	"NH"	NULL
"Davenport"	"DAVENPORT UNIVERSITY"	"Davenport University"	"NA"	"NA"	"NA"	"NA"	NULL
"DePaul"	"DEPAUL UNIVERSITY"	"DePaul University"	"R3"	"Private (Non-profit)"	"Chicago"	"IL"	NULL
"Drew"	"DREW UNIVERSITY"	"Drew University"	"R3"	"Private (Non-profit)"	"Madison"	"NJ"	NULL
"Drexel"	"DREXEL UNIVERSITY"	"Drexel University"	"R2"	"Private (Non-profit)"	"Philadelphia"	"PA"	NULL
"Duke"	"DUKE UNIVERSITY"	"Duke University"	"R1"	"Private (Non-profit)"	"Durham"	"NC"	NULL
"Duquesne"	"DUQUESNE UNIVERSITY"	"Duquesne University"	"R2"	"Private (Non-profit)"	"Pittsburgh"	"PA"	NULL
"ECU"	"EAST CAROLINA UNIVERSITY"	"East Carolina University"	"R2"	"Public"	"Greenville"	"NC"	NULL
"ETSU"	"EAST TENNESSEE STATE UNIVERSITY"	"East Tennessee State University"	"R3"	"Public"	"Johnson City"	"TN"	NULL
"EMU"	"EASTERN MICHIGAN UNIVERSITY"	"Eastern Michigan University"	"R3"	"Public"	"Ypsilanti"	"MI"	NULL
"Edgewood"	"EDGEWOOD COLLEGE"	"Edgewood College"	"R3"	"Private (Non-profit)"	"Madison"	"WI"	NULL
"Elmhurst"	"ELMHURST COLLEGE"	"Elmhurst College"	"NA"	"NA"	"NA"	"NA"	NULL
"Emory"	"EMORY UNIVERSITY"	"Emory University"	"R1"	"Private (Non-profit)"	"Atlanta"	"GA"	NULL
"Emporia St"	"EMPORIA STATE UNIVERSITY"	"Emporia State University"	"NA"	"NA"	"NA"	"NA"	NULL
"Fairfield"	"FAIRFIELD UNIVERSITY"	"Fairfield University"	"NA"	"NA"	"NA"	"NA"	NULL
"Fairleigh Dickinson Met"	"FAIRLEIGH DICKINSON UNIVERSITY METROPOLITAN"	"Fairleigh Dickinson University-Metropolitan Campus"	"R3"	"Private (Non-profit)"	"Teaneck"	"NJ"	NULL
"Fielding Grad"	"FIELDING GRADUATE UNIVERSITY"	"Fielding Graduate University"	"R3"	"Private (Non-profit)"	"Santa Barbara"	"CA"	NULL
"FAMU"	"FLORIDA AGRICULTURAL AND MECHANICAL UNIVERSITY"	"Florida Agricultural and Mechanical University"	"R2"	"Public"	"Tallahassee"	"FL"	NULL
"FAU"	"FLORIDA ATLANTIC UNIVERSITY"	"Florida Atlantic University"	"R2"	"Public"	"Boca Raton"	"FL"	NULL
"FIT"	"FLORIDA INSTITUTE OF TECHNOLOGY"	"Florida Institute of Technology"	"R2"	"Private (Non-profit)"	"Melbourne"	"FL"	NULL
"FIU"	"FLORIDA INTERNATIONAL UNIVERSITY"	"Florida International University"	"R1"	"Public"	"Miami"	"FL"	NULL
"FSU"	"FLORIDA STATE UNIVERSITY"	"Florida State University"	"R1"	"Public"	"Tallahassee"	"FL"	NULL
"Fordham"	"FORDHAM UNIVERSITY"	"Fordham University"	"R2"	"Private (Non-profit)"	"Bronx"	"NY"	NULL
"Gardner Webb"	"GARDNER WEBB UNIVERSITY"	"Gardner-Webb University"	"R3"	"Private (Non-profit)"	"Boiling Springs"	"NC"	NULL
"GMU"	"GEORGE MASON UNIVERSITY"	"George Mason University"	"R1"	"Public"	"Fairfax"	"VA"	NULL
"GW"	"GEORGE WASHINGTON UNIVERSITY"	"George Washington University"	"R1"	"Private (Non-profit)"	"Washington"	"DC"	NULL
"Georgetown"	"GEORGETOWN UNIVERSITY"	"Georgetown University"	"R1"	"Private (Non-profit)"	"Washington"	"DC"	NULL
"GT"	"GEORGIA INSTITUTE OF TECHNOLOGY"	"Georgia Institute of Technology"	"R1"	"Public"	"Atlanta"	"GA"	NULL
"Ga Southern"	"GEORGIA SOUTHERN UNIVERSITY"	"Georgia Southern University"	"R3"	"Public"	"Statesboro"	"GA"	NULL
"Ga St"	"GEORGIA STATE UNIVERSITY"	"Georgia State University"	"R1"	"Public"	"Atlanta"	"GA"	NULL
"Golden St"	"GOLDEN STATE UNIVERSTIY"	"Golden Gate University"	NULL	NULL	NULL	NULL	NULL
"Grand Canyon"	"GRAND CANYON UNIVERSITY"	"Grand Canyon University"	"R3"	"Private (For-profit)"	"Phoenix"	"AZ"	NULL
"Grand Valley St"	"GRAND VALLEY STATE UNIVERSITY"	"Grand Valley State University"	"NA"	"NA"	"NA"	"NA"	NULL
"Grantham"	"GRANTHAM UNIVERSITY"	"Grantham University"	"NA"	"NA"	"NA"	"NA"	NULL
"HUST"	"HARRISBURG UNIVERSITY OF SCIENCE AND TECHNOLOGY"	"Harrisburg University Of Science And Technology"	"NA"	"NA"	"NA"	"NA"	NULL
"Harvard"	"HARVARD UNIVERSITY"	"Harvard University"	"R1"	"Private (Non-profit)"	"Cambridge"	"MA"	"1"
"HPU"	"HAWAII PACIFIC UNIVERSITY"	"Hawaii Pacific University"	"NA"	"NA"	"NA"	"NA"	NULL
"Hofstra"	"HOFSTRA UNIVERSITY"	"Hofstra University"	"R3"	"Private (Non-profit)"	"Hempstead"	"NY"	NULL
"Howard"	"HOWARD UNIVERSITY"	"Howard University"	"R2"	"Private (Non-profit)"	"Washington"	"DC"	NULL
"ID St"	"IDAHO STATE UNIVERSITY"	"Idaho State University"	"R3"	"Public"	"Pocatello"	"ID"	NULL
"IIT"	"ILLINOIS INSTITUTE OF TECHNOLOGY"	"Illinois Institute of Technology"	"R2"	"Private (Non-profit)"	"Chicago"	"IL"	NULL
"IL St"	"ILLINOIS STATE UNIVERSITY"	"Illinois State University"	"R2"	"Public"	"Normal"	"IL"	NULL
"Immaculat"	"IMMACULATA UNIVERSITY"	"Immaculata University"	"R3"	"Private (Non-profit)"	"Immaculata"	"PA"	NULL
"IN St"	"INDIANA STATE UNIVERSITY"	"Indiana State University"	"R3"	"Public"	"Terre Haute"	"IN"	NULL
"IU"	"INDIANA UNIVERSITY BLOOMINGTON"	"Indiana University-Bloomington"	"R1"	"Public"	"Bloomington"	"IN"	NULL
"IUP"	"INDIANA UNIVERSITY OF PENNSYLVANIA MAIN"	"Indiana University of Pennsylvania-Main Campus"	"R3"	"Public"	"Indiana"	"PA"	NULL
"IUPUI"	"INDIANA UNIVERSITY PURDUE UNIVERSITY INDIANAPOLIS"	"Indiana University-Purdue University-Indianapolis"	"R2"	"Public"	"Indianapolis"	"IN"	NULL
